player_id,nickname,realname,age,nationality
14904,SloWye,Aaron van der Walt,25,South Africa
14905,Taymore,Pradeep Naga,,Malaysia
14906,risk,Andrew Chew,,Malaysia
14907,SovereigN,Hannan Hamzah,,Malaysia
14908,AlexFuryK,Alexandre Lim,19,Malaysia
14909,keeso,Elias Löwendal,,Sweden
14910,rubeN,Robin Wängestam,25,Sweden
14911,Nanoh,Tomh Strandberg,25,Sweden
14912,Zebry,Ryosuke Maeda,25,Japan
14913,balloon,Asuki Mizutani,22,Japan
14914,flax,Takumi Harada,21,Japan
14915,Nino,Anel Zukic,,Austria
14916,Synergy,Stephan Forisch,,Austria
14917,hiji,Artem Smoliy,22,Russia
14918,f0rsakeN,Jason Susanto,15,Indonesia
14919,Histoire,Jose Iman,18,Indonesia
14920,wnd,Windi Halim,23,Indonesia
14921,vostok,Yoga Dharmawan,23,Indonesia
14922,Eeyore,Kevin Gunawan,25,Indonesia
14923,adrnking,Adrian Setiawan,21,Indonesia
14924,kylooshka,Iqbal Mauldha,24,Indonesia
14925,DeCapitate,Darren Chua,22,Singapore
14926,Raiii,Raizo Ichikawa,29,Philippines
14927,YEBAH,Mark Bondad,32,Philippines
14928,Meltrox,Johannes Andersen,,Denmark
14929,JDC,Jon de Castro,19,Germany
14930,yb,Lukas Gröning,28,Germany
14931,impulsG,Marcel de Matteis,,Germany
14932,faveN,Josef Baumann,20,Germany
14933,robby,Robert Brown,19,United States
14934,Ruleh,Ryan Payne,,United Kingdom
14935,zendy,Warunyu Sanitwongchai,21,Thailand
14936,Kromex,Harry Webster,21,Thailand
14937,koNgared,Nantapol Boonying,21,Thailand
14938,Xsy,Patsakorn Panwect,18,Thailand
14939,Jasper,Tunyawat Engkawat,23,Thailand
14940,7wiCey,ManHei Pun,19,Hong Kong
14941,iam_Alan,KingFung Chan,21,Hong Kong
14942,LanDhy,HoYin Lam,22,Hong Kong
14943,Ana.Rchist,KaChun Yung,18,Hong Kong
14944,Y1pLaU,ChiuKei Cheng,17,Hong Kong
14945,USAM,HoLun Yip,29,Hong Kong
14946,FatherMO,ChinTo Cheung,26,Hong Kong
14947,CarrioN,KinMan Chan,23,Hong Kong
14948,grey,YuHo Poon,23,Hong Kong
14949,TwistEZ,Tristan Gnocato,,Australia
14950,FAZZ,Aaron Bretherton,,Australia
14951,xeqtr,Mitchell Bridgeford,,Australia
14952,Meikai,Ming Tan O'mallon,,Australia
14953,Relaapze,Ben Newell-Sakkas,,Australia
14954,void,Cooper Farrell,18,Australia
14955,Lacore,Stefan Paunovic,25,Serbia
14956,yourwombat,Will Allchin,,Australia
14957,Mayker,Daryl May,21,Australia
14958,c4ke,Chihav Owng,,Australia
14959,Pride,Forrest Yip,23,Australia
14960,optical,Aziz S.,,Australia
14961,jatta,Michal Zima,29,Slovakia
14962,mgnt,Robert Zemko,26,Slovakia
14963,kilas,Denis Trinh Dac,26,Slovakia
14964,fEEwE,Adam Bajnoci,22,Slovakia
14965,SYSTEM,Tomáš Zemko,16,Slovakia
14966,spexo,Patrik Hampl,19,Slovakia
14967,pemi,Peter Mikuš,21,Slovakia
14968,nelv1,Juraj Minar,21,Slovakia
14969,discplex,Daniēls Bieziņš,21,Latvia
14970,salix,Roberts Vītols,24,Latvia
14971,GRAZSEN,Rihards Grūbe,20,Latvia
14972,bOlu,BoRu Jhou,22,Taiwan
14973,EzShow,YuSheng Jheng,22,Taiwan
14974,SharK,JhongYan Yang,25,Taiwan
14975,SaSaKi,JiaCheng Guo,22,Taiwan
14976,BBQ,BoYao Jhang,22,Taiwan
14977,Kazaf,WeiLun Hsu,29,Taiwan
14978,Rkpower,ShuSian Ye,27,Taiwan
14979,Kev!n,KaiJie Yang,29,Taiwan
14980,Wan,ZihMin Huang,23,Taiwan
14981,Tor4nz,JhihCi Cheng,32,Taiwan
14982,3yA,WeiCian Wang,25,Taiwan
14983,Lyusha,JheSiang Li,24,Taiwan
14984,ToeyWk,Warakorn Trachoo,25,Thailand
14985,Prophet,Tamasorn Virulchanya,25,Thailand
14986,Mbbizz,Adison Khomsomboon,26,Thailand
14987,hopplo,Lauris Poļaks,24,Latvia
14988,EzPz,Nonthapatr Sanitprachakorn,19,Thailand
14989,teeja,Artūrs Slikšāns,20,Latvia
14990,keen,Kristers Dārznieks,19,Latvia
14991,softstyleR,Maksims Garaba,22,Latvia
14992,Rh4psoday,Hawaroj Jungpeetitus,25,Thailand
14993,AJ,Man-Ho Yip,20,Hong Kong
14994,JeffVanB,YiuOn Wong,21,Hong Kong
14995,Something,Chun-Fai Wong,20,Hong Kong
14996,kevinLoo,Cho-Sum Lo Kevin,22,Hong Kong
14997,kavi,Waikit Lam,21,Hong Kong
14998,1521871,Shuai Ye,23,Hong Kong
14999,FFA,Hon-Sam So,21,Hong Kong
15000,z3n0b,Hector Verduzco,,United States
15001,sWiFTyeee,Hector Borbon,,United States
15002,Critzby,Luke Garner,,United States
15003,Jeranko,Jeremy Jeranko,,United States
15004,daltonlws,Dalton Lewis,,United States
15005,tylerIRl,Tyler Earley,,United States
15006,bigb33tl3,Henry Cash,19,United States
15007,Cooper-,Austin Abadir,25,United States
15008,Corbin-hax-,,,United States
15009,DirtyHorton,Tyler Horton,,United States
15010,boo,TJ Bourgeois,,United States
15011,en-Vee,Reno Godzilla,,United States
15012,KPS_,Anthony Reid,,United States
15013,Glue_Eater,Cole Wilson,,United States
15014,WarSloth,Branden Hill,,United States
15015,D0ffy,Brad Bettig,24,United States
15016,TinUP,Ryan Le,20,United States
15017,ColeUP,Cole Werry,21,United States
15018,inst1nctive,Myles Campbell,,United States
15019,cut67,Christopher Parness,,United States
15020,Xure,Alex Ure,,United States
15021,28ADR,Ethan Chen,,United States
15022,XPZ,Christopher Payne,23,United States
15023,nth21,Novi Trianto,30,Indonesia
15024,blaZek1ng,Gary Dastin,23,Indonesia
15025,Doctor Lee,Wai-Lam Tang,22,Hong Kong
15026,Silver Elite,Chun-Wai So,22,Hong Kong
15027,FARFARFARFARFAR,Chak-Ming Tong,22,Hong Kong
15028,Pikadiunalomo,Yiu-Pan Luk,22,Hong Kong
15029,FC,Chun-Yin Cheung,23,Hong Kong
15030,KJ,Ka-Ching Wong,22,Hong Kong
15031,DIVINE,Wang Yip,24,Hong Kong
15032,MIKECHAN,Nok-Kan Fong,24,Hong Kong
15033,Gudetama,Sai-Ying Tsai,20,Hong Kong
15034,IVAN,,,Hong Kong
15035,tobyy,Tobias Jørgensen,,Denmark
15036,fweak,Tobias Hofmeister,,Denmark
15037,FAALE,Krystian Kubas,26,Poland
15038,p1jo,Piotr Blok,21,Poland
15039,pekson,Kamil Plachta,24,Poland
15040,mill,Paweł Nosewicz,22,Poland
15041,DUq,Piotr Duda,,Poland
15042,REDKILLER,Gregory Zanis,20,United States
15043,ZAKeeSHA,,,Canada
15044,lO_o,,,United States
15045,Voided,James Rungsawang,20,United States
15046,Mvpg-,,,United States
15047,bthd,,,United States
15048,iigLu,Luigi Ruffinelli,21,United States
15049,rodneyP,,,United States
15050,BPIZZLE,,,United States
15051,w0w,Tony Zachary,22,United States
15052,DaneJoris,Keanu Reyes,22,United States
15053,vaz,Alba Tirado,38,Venezuela
15054,skeiiiii,Roberto Bracho,,Venezuela
15055,CaspeR,Ismael Zapata,,United States
15056,nex1,Gerelt-Od Javkhlantugs,18,Mongolia
15057,sogeki,Saruultugs Azgun,25,Mongolia
15058,cTrl,Unudelger Baasanjargal,22,Mongolia
15059,tesk0h,Batbayar Bayarjargal,22,Mongolia
15060,neuz,Uuganbayar Nyam-Otgon,20,Mongolia
15061,hang4u,Khangai Munkhuu,26,Mongolia
15062,shinobi,Telmen Batzorig,26,Mongolia
15063,Lizz,Nyam-Ochir Enkhbold,22,Mongolia
15064,izaya,Shinebold Boldbaatar,24,Mongolia
15065,M1shoku,An Si-On,22,Korea
15066,Rb,Sang-Min Goo,18,Korea
15067,Denny,Ryu-Hyuk Gyu,18,Korea
15068,inter,Yang-Jun Mo,21,Korea
15069,CalaMiTY,Kim-Jun Hoo,20,Korea
15070,Hidel,Hwang-Jung Hyun,21,Korea
15071,interz,Timofey Yakushin,19,Russia
15072,nin9,Yesuntumur Gantulga,21,Mongolia
15073,jd-,Ananias Dixon,,United States
15074,v0rtrix,Sho Nakamura,,Japan
15075,UDEEEN,Hafizuddin Sauthi,,Malaysia
15076,DinieX,Uddin Mokhti,23,Malaysia
15077,nyx,Muhammad Azzran-Hazim,,Malaysia
15078,Blame,Jin-Woo Lee,19,Korea
15079,crAxy,Jae-Seok Park,18,Korea
15080,Kaos,Jin-Young An,22,Korea
15081,F1uker,Min-Soo Kim,19,Korea
15082,DK,Gyung-Hwan Oh,23,Korea
15083,Capricorn,Seung-Geon No,24,Korea
15084,ZENCER,Roey Kimhi,19,Israel
15085,KEVIN,,,United States
15086,poolboyQ,,,United States
15087,nW^,,,United States
15088,Blayze,,,United States
15089,Rustun,Rustun Lusk,22,United States
15090,PwnAlone,Josh Pigue,29,United States
15091,iVo,Ivan Ianakiev,,United States
15092,karanni,Gianni Dfana,,United States
15093,paperboy,Ethan Lillie,22,United States
15094,republic,Jonas Nilsson,26,Sweden
15095,belzebub,Robin Sandersson,27,Sweden
15096,grux,Denis Gutaj,20,Sweden
15097,SideStep,Casey Hartzler,20,United States
15098,WiGGY,Bruno Rabani,27,Canada
15099,hybr1d,Julian Rivera,27,United States
15100,SAINT,Jayarajah Geeshan,23,Sri Lanka
15101,HeLLScrM,Zayyaan Ali,24,Sri Lanka
15102,iscreaM,Sayandeep Dutta,27,India
15103,Rejeck,Jerickson Mataro,,Philippines
15104,Goope,Julian-Carlo De Guzman,18,Philippines
15105,Tony,Anthony Bihasa,26,Philippines
15106,SIG,Enrico Manalese,,Philippines
15107,leckr,Michal Kadlíček,20,Czech Republic
15108,desty,Dominik Černý,22,Czech Republic
15109,Niffy,Patcharapon Junman,18,Thailand
15110,HSK,Narakrit Phuthiwaranan,22,Thailand
15111,JUSTCAUSE,Tuchpong Pongthanadechakit,24,Thailand
15112,SMK-,Samuel Kellner,19,Slovakia
15113,mieux,Marek Matoulek,20,Czech Republic
15114,lojzo,Dávid Jurík,19,Slovakia
15115,SyN,Jami Ruponen,,Finland
15116,Sific,Jordi Aldewereld,,Netherlands
15117,Keoz,Nicolas Dgus,19,Belgium
15118,SBT,Sébastien Sabbadin,18,France
15119,mLn,Mhilan Henry,23,France
15120,JiNKZ,Gaëtan Jamin,24,France
15121,Reaz,Maxime Durand,22,France
15122,jessica,,,United States
15123,Mystery,,,United States
15124,Nickphoreal,,,United States
15125,fows,Manousos Kouidis,20,Greece
15126,RenZ,Austin Dickman,17,United States
15127,Dethyus,,,United States
15128,Domorin,,,United States
15129,Ruddybird,Chris Hansen,,United States
15130,PinheadLarry,Ezra Pereira,19,United States
15131,TeKayyy,,,United States
15132,Zwomp,,,Canada
15133,theTRUTH,Jake Hass,,United States
15134,Draggio,Andrew Aggio,21,United States
15135,smoothx,,,United States
15136,JoeBello,,,United States
15137,TSGZeus,,,United States
15138,UrBoyMirth,,,United States
15139,stealthy,Nicholas Petrakos,21,Canada
15140,bobbytux,,,United States
15141,Sky,Jerico Martinez,,Philippines
15142,KarlClt,Karlo Ocampo,20,Philippines
15143,Kaka,Karlo Portodo,26,Philippines
15144,JA,Johnty Arone,21,Philippines
15145,Stalker,Didray Buted,,Philippines
15146,Moja,Eugene Cruz,,Philippines
15147,uiop,Ian Dy,,Philippines
15148,Paking,King Murakami,,Philippines
15149,UncleD,Drew Cabungcal,,Philippines
15150,tsubaki,Tokiya Shibata,21,Japan
15151,Winter,Shoya Mizobe,21,Japan
15152,Marin,Akira Kato,22,Japan
15153,bazooka,Takuya Matuoka,22,Japan
15154,nagahori25,Akio Doi,21,Japan
15155,Kimji,Peeraphol Kamalanavin,22,Thailand
15156,Bibby,Teric Ingram,27,United States
15157,Katsu,Vincent Thach,20,United States
15158,ExToSee,Thomas Johnson,22,United States
15159,armon,Armon Bakhtar,22,United States
